as_of,strategy_sharpe,strategy_max_drawdown,strategy_annualized_return,strategy_annualized_volatility,strategy_turnover,strategy_cost_drag,equal_weight_sharpe,equal_weight_max_drawdown,inverse_variance_sharpe,inverse_variance_max_drawdown
2026-09-11,0.6292724879724294,-0.1362392984500197,0.1314737498513344,0.1135815584145892,0.0027546625660874,0.00697362404559,0.4861350753541553,-0.3800193563235461,0.4670246630495006,-0.3559502088295226
2026-09-11,0.6292724182806291,-0.1362392962646259,0.1314737449509235,0.1135815632063016,0.002754663163375,0.0069736239084285,0.4861350309952686,-0.3800193641025401,0.4670246354138961,-0.3559502031094247
2026-09-15,0.6157143610083892,-0.1362392840110463,0.1299766143071925,0.1136510998258803,0.0027546622573092,0.0070504495642245,0.4785636909299676,-0.3800193465846232,0.4604277369726833,-0.3559469672909615
2026-09-16,0.6179814039873015,-0.13623930274172,0.1302035156000498,0.1136013400194359,0.0027546635523435,0.0070323909218753,0.4797945674494507,-0.3800193490008286,0.4618350919189517,-0.355945810884693
2026-09-18,0.6240028732985174,-0.1362392981509713,0.1308495969027762,0.1135404978638333,0.0027546625957145,0.0069891899149061,0.4832242515366596,-0.380019346266055,0.4639134177476721,-0.3559570911293299
2026-09-21,0.6242960839906987,-0.1362393082161121,0.1308680625336747,0.1135167500661923,0.0027546630769625,0.0069853076033177,0.4833509386736413,-0.3800193572424926,0.4650641934624461,-0.3559609694668554
2026-09-22,0.6202530371891501,-0.13623929155627498,0.13040006544579372,0.11350216963842895,0.0027546630598174683,0.007007292629221838,0.48104862383613106,-0.38001935801382064,0.4623748576310314,-0.35596578954325275
<<<<<<< HEAD,,,,,,,,,,
=======,,,,,,,,,,
>>>>>>> 28a975b777bb7f440cce6e1ed4f959094f6aa579,,,,,,,,,,
